epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.727,1.06998,4.07214,1.13902,0.63475,0.17524,0.13445,0.0995,0.96447,3.26731,1.04056,9.21711e-05,9.21711e-05,9.21711e-05
2,225.35,0.85595,2.38552,1.02659,0.61138,0.29107,0.32087,0.24529,0.85278,2.43298,0.99459,0.000175688,0.000175688,0.000175688
3,309.116,0.79732,1.67578,1.00253,0.39276,0.44778,0.45723,0.34399,0.89407,2.15702,1.0166,0.000250032,0.000250032,0.000250032
4,392.117,0.75088,1.34942,0.97565,0.61696,0.61303,0.56362,0.43171,0.8159,1.75636,0.97836,0.000236717,0.000236717,0.000236717
5,476.022,0.72922,1.18742,0.96338,0.58247,0.65247,0.59733,0.46873,0.81881,1.62232,0.97505,0.000222956,0.000222956,0.000222956
6,558.097,0.69477,1.08042,0.95176,0.59204,0.64741,0.63871,0.49318,0.80452,1.50055,0.96725,0.000209195,0.000209195,0.000209195
7,641.888,0.67001,0.99206,0.94359,0.63896,0.69144,0.68628,0.54131,0.79623,1.45254,0.96131,0.000195434,0.000195434,0.000195434
8,724.368,0.65385,0.91864,0.93671,0.77949,0.69874,0.73276,0.57338,0.78732,1.41025,0.95726,0.000181673,0.000181673,0.000181673
9,808.572,0.63002,0.87023,0.92864,0.72473,0.72003,0.7571,0.58831,0.80025,1.33909,0.96908,0.000167912,0.000167912,0.000167912
10,891.124,0.61226,0.83302,0.91595,0.74574,0.78939,0.76801,0.59959,0.79119,1.3758,0.95305,0.000154151,0.000154151,0.000154151
11,1008.09,0.62034,0.85369,0.9207,0.74305,0.70226,0.75019,0.57239,0.82486,1.36133,0.96642,0.00014039,0.00014039,0.00014039
12,1111.88,0.59232,0.78923,0.91055,0.74849,0.75511,0.77665,0.5926,0.80564,1.38315,0.96389,0.000126629,0.000126629,0.000126629
13,1196.6,0.57798,0.73744,0.90215,0.7456,0.78361,0.79962,0.60539,0.80347,1.29752,0.96267,0.000112868,0.000112868,0.000112868
14,1286.45,0.56351,0.70891,0.89177,0.77033,0.74664,0.7882,0.59957,0.79597,1.3098,0.95978,9.9107e-05,9.9107e-05,9.9107e-05
15,1352.46,0.54353,0.67814,0.88685,0.75028,0.78489,0.78285,0.60256,0.77697,1.29288,0.95433,8.5346e-05,8.5346e-05,8.5346e-05
16,1374.79,0.53995,0.66936,0.88855,0.74417,0.77052,0.78295,0.60334,0.77997,1.34704,0.95217,7.1585e-05,7.1585e-05,7.1585e-05
17,1397.11,0.52809,0.64429,0.8794,0.74203,0.76263,0.7809,0.60679,0.78302,1.3244,0.95378,5.7824e-05,5.7824e-05,5.7824e-05
18,1426.53,0.51721,0.63374,0.87963,0.74181,0.79492,0.78423,0.60479,0.77047,1.31013,0.95066,4.4063e-05,4.4063e-05,4.4063e-05
19,1453.21,0.50954,0.62474,0.87651,0.76707,0.77223,0.78618,0.60382,0.77666,1.29709,0.95174,3.0302e-05,3.0302e-05,3.0302e-05
20,1481.65,0.51131,0.61913,0.87218,0.76472,0.78054,0.78155,0.60445,0.77114,1.30348,0.95071,1.6541e-05,1.6541e-05,1.6541e-05
